,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608 MEGAPO,1043733766,3D리필기획 1&2,08월 09일,"2,201",349,196,15.86%,8.91%,,2607 MEGAPO,07월 09일,"11,977",217,110,1.81%,0.92%,,2605 MEGAPO,05월 09일,"1,165",189,127,16.22%,10.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608 MEGAPO,1043733836,콜라겐크림(+더블),08월 09일,470,109,59,23.19%,12.55%,,2607 MEGAPO,07월 09일,344,94,49,27.33%,14.24%,,2605 MEGAPO,05월 09일,530,129,96,24.34%,18.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608 MEGAPO,1184844785,NAD단품(+세트),08월 09일,"1,232",105,66,8.52%,5.36%,,2607 MEGAPO,07월 09일,"11,290",325,126,2.88%,1.12%,,2605 MEGAPO,05월 09일,552,59,46,10.69%,8.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608 MEGAPO,1043733776,아이크림,08월 09일,585,109,42,18.63%,7.18%,,2607 MEGAPO,07월 09일,778,178,92,22.88%,11.83%,,2605 MEGAPO,05월 09일,441,110,79,24.94%,17.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200967033,NAD아이크림(더블),08월 10일,932,65,25,6.97%,2.68%,,,07월 10일,,,,,,,,05월 10일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1193919062,콜겔 미스트,08월 10일,246,24,5,9.76%,2.03%,,,07월 10일,315,23,6,7.30%,1.90%,,,05월 10일,"1,928",183,99,9.49%,5.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733766,3D리필기획 1&2,08월 10일,683,63,22,9.22%,3.22%,,,07월 10일,813,62,22,7.63%,2.71%,,,05월 10일,925,69,24,7.46%,2.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733836,콜라겐크림(+더블),08월 10일,191,39,21,20.42%,10.99%,,,07월 10일,188,32,11,17.02%,5.85%,,,05월 10일,338,46,16,13.61%,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1184844785,NAD단품(+세트),08월 10일,313,27,9,8.63%,2.88%,,,07월 10일,427,40,14,9.37%,3.28%,,,05월 10일,337,33,15,9.79%,4.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733776,아이크림,08월 10일,217,21,2,9.68%,0.92%,,,07월 10일,195,27,14,13.85%,7.18%,,,05월 10일,281,41,9,14.59%,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200967033,NAD아이크림(더블),08월 11일,868,42,17,4.84%,1.96%,,,07월 11일,,,,,,,,05월 11일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1193919062,콜겔 미스트,08월 11일,226,17,3,7.52%,1.33%,,,07월 11일,444,41,16,9.23%,3.60%,,,05월 11일,868,84,44,9.68%,5.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733766,3D리필기획 1&2,08월 11일,577,63,28,10.92%,4.85%,,,07월 11일,914,108,40,11.82%,4.38%,,,05월 11일,807,77,27,9.54%,3.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733836,콜라겐크림(+더블),08월 11일,185,30,12,16.22%,6.49%,,,07월 11일,220,35,12,15.91%,5.45%,,,05월 11일,301,62,33,20.60%,10.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
