,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1043733766,06월 02일,아사츄르 요르탄,"22,941","4,497","3,130",11.97%,56.06%,,1043733766,03월 03일,아사츄르 요르탄,"29,084","3,913","2,291",8.91%,32.56%
1102765780,06월 02일,기획박스,"29,112","7,660","5,500",20.39%,98.51%,,1102765780,03월 03일,기획박스,"19,039","1,359",755,3.10%,10.73%
1193919062,06월 02일,콜겔 미스트,"13,810","1,491",633,3.97%,11.34%,,1193919062,03월 03일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 02일,혼합박스,"6,045",911,443,2.43%,7.93%,,1125492693,03월 03일,혼합박스,"37,211",3088,1377,7.03%,19.57%
1193917996,06월 02일,마리에 콜라보,"3,014",437,256,1.16%,4.59%,,1193917996,03월 03일,마리에 콜라보,"6,519",867,499,1.98%,7.09%
1043733820,06월 02일,3d 단품,"4,757","1,120",755,2.98%,13.52%,,1043733820,03월 03일,3d 단품,"7,123","1,867","1,328",4.25%,18.87%
1184844785,06월 02일,nad단품,"6,125","1,123",811,2.99%,14.53%,,1184844785,03월 03일,nad단품,"11,074","1,277",882,2.91%,12.53%
1043733776,06월 02일,아이크림,"3,650",890,595,2.37%,10.66%,,1043733776,03월 03일,아이크림,"3,372",743,472,1.69%,6.71%
1089751381,06월 02일,콜라겐 토너,"2,793",370,220,0.99%,3.94%,,1089751381,03월 03일,콜라겐 토너,,,,,
1043733836,06월 02일,콜라겐 크림 단품,"2,525",492,305,1.31%,5.46%,,1043733836,03월 03일,콜라겐 크림 단품,"3,097",569,365,1.30%,5.19%
1043733820,06월 02일,3d 단품,"4,757","1,120",755,2.98%,13.52%,,1043733820,03월 03일,3d 단품,"7,123","1,867","1,328",4.25%,18.87%
1184844785,06월 02일,nad단품,"6,125","1,123",811,2.99%,14.53%,,1184844785,03월 03일,nad단품,"11,074","1,277",882,2.91%,12.53%
1043733776,06월 02일,아이크림,"3,650",890,595,2.37%,10.66%,,1043733776,03월 03일,아이크림,"3,372",743,472,1.69%,6.71%
1089751381,06월 02일,콜라겐 토너,"2,793",370,220,0.99%,3.94%,,1089751381,03월 03일,콜라겐 토너,,,,,
1193917996,06월 03일,마리에 콜라보,"2,614",431,207,1.15%,3.71%,,1193917996,03월 04일,마리에 콜라보,"3,612",571,278,1.30%,3.95%
1043733820,06월 03일,3d 단품,"4,683","1,212",712,3.23%,12.75%,,1043733820,03월 04일,3d 단품,"5,916","1,724","1,015",3.93%,14.42%
1184844785,06월 03일,nad단품,"5,347","1,469",912,3.91%,16.34%,,1184844785,03월 04일,nad단품,"14,530",737,291,1.68%,4.14%
1043733776,06월 03일,아이크림,"3,125",844,529,2.25%,9.48%,,1043733776,03월 04일,아이크림,"5,803","2,270",1704,5.17%,24.21%
1089751381,06월 03일,콜라겐 토너,"2,416",367,172,0.98%,3.08%,,1089751381,03월 04일,콜라겐 토너,,,,,
1043733836,06월 03일,콜라겐 크림 단품,"4,285","1,152",817,3.07%,14.63%,,1043733836,03월 04일,콜라겐 크림 단품,"2,901",512,246,1.17%,3.50%
1043733766,06월 04일,아사츄르 요르탄,"15,563","2,795","1,519",7.44%,27.21%,,1043733766,03월 05일,아사츄르 요르탄,"22,085","2,927","1,433",6.67%,20.36%
1102765780,06월 04일,기획박스,"8,112",731,334,1.95%,5.98%,,1102765780,03월 05일,기획박스,"11,991",705,339,1.61%,4.82%
1193919062,06월 04일,콜겔 미스트,"12,352","1,009",457,2.69%,8.19%,,1193919062,03월 05일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 04일,혼합박스,"3,655",471,232,1.25%,4.16%,,1125492693,03월 05일,혼합박스,"5,359",218,71,0.50%,1.01%
1193917996,06월 04일,마리에 콜라보,"1,982",282,145,0.75%,2.60%,,1193917996,03월 05일,마리에 콜라보,"2,861",423,234,0.96%,3.33%
1043733820,06월 04일,3d 단품,"3,383",804,464,2.14%,8.31%,,1043733820,03월 05일,3d 단품,"5,004","1,294",762,2.95%,10.83%
1184844785,06월 04일,nad단품,"3,788",825,479,2.20%,8.58%,,1184844785,03월 05일,nad단품,"7,740",160,49,0.36%,0.70%
1043733776,06월 04일,아이크림,"2,209",523,341,1.39%,6.11%,,1043733776,03월 05일,아이크림,"2,672",569,333,1.30%,4.73%
