,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1116473754,06월 09일,누디블러틴트,"1,283",175,91,13.64%,52.00%,,1116473754,03월 10일,누디블러틴트,963,186,101,19.31%,54.30%
1189084084,06월 09일,탕후루딥글레이즈,"2,196",308,198,14.03%,64.29%,,1189084084,03월 10일,탕후루딥글레이즈,875,105,46,12.00%,43.81%
1082531222,06월 09일,애교살메이커,895,122,75,13.63%,61.48%,,1082531222,03월 10일,애교살메이커,637,134,83,21.04%,61.94%
1082531220,06월 09일,입체창조쉐딩스틱,"1,249",298,208,23.86%,69.80%,,1082531220,03월 10일,입체창조쉐딩스틱,801,299,163,37.33%,54.52%
1199712593,06월 10일,짱구모음세트,"1,395",198,145,13.51%,40.44%,,1199712593,03월 11일,짱구모음세트,,,,,
1139779066,06월 10일,컬러커버틴트,"5,604",638,531,11.31%,63.91%,,1139779066,03월 11일,컬러커버틴트,"2,363",499,435,22.35%,59.94%
1135003693,06월 10일,탕후루밀크,"1,634",315,252,18.01%,54.22%,,1135003693,03월 11일,탕후루밀크,"2,006",411,296,17.06%,54.59%
1116473754,06월 10일,누디블러틴트,"1,464",202,166,13.64%,52.00%,,1116473754,03월 11일,누디블러틴트,"1,480",326,263,19.31%,54.30%
1189084084,06월 10일,탕후루딥글레이즈,"3,389",492,365,14.03%,64.29%,,1189084084,03월 11일,탕후루딥글레이즈,"1,228",194,123,12.00%,43.81%
1082531222,06월 10일,애교살메이커,"1,360",214,174,13.63%,61.48%,,1082531222,03월 11일,애교살메이커,"1,012",262,252,21.04%,61.94%
1082531220,06월 10일,입체창조쉐딩스틱,"1,786",495,454,23.86%,69.80%,,1082531220,03월 11일,입체창조쉐딩스틱,"1,312",499,430,37.33%,54.52%
